symbol,side,entry,exit,qty,cash_return,remaining_pnl,total_pnl,total_pct,r,reason,phase,entry_time,cost,trade_type,big_trend,close_time,regime,grid_layer
BTC/USDT-layer5,short,43427.1588,42500.0,8.83742855916623e-07,0.039182459931520024,0.0008040185892633241,0.0008040185892633241,2.09413692247643,1.6710750754957109,网格止盈-5,1,2022-01-06 04:15:00,0.038393792718793604,grid,bearish,2022-01-06 09:30:00,range_bound,5.0
BTC/USDT-layer5,short,43424.2292,42500.0,8.838621027266091e-07,0.039182569281895556,0.0008015387519013354,0.0008015387519013354,2.0875371336612676,1.9818476021780675,网格止盈-5,1,2022-01-06 13:00:00,0.038396382942206216,grid,bearish,2022-01-07 03:15:00,trending_down,5.0
BTC/USDT,short,42905.12,41329.76054450169,0.06852329046043922,3046.7728135487105,106.77281354871032,129.4723659452542,3.0814428025278984,4.999999999999996,止盈,1,2022-01-07 00:15:00,4201.68,trend,bearish,2022-01-07 04:15:00,range_bound,
BTC/USDT,short,41428.01,42118.4338574476,0.10267625197775626,4181.081190620784,-72.59160307622271,-72.59160307622271,-1.7058805781330018,-1.0000000000000033,止损,1,2022-01-07 04:30:00,4255.3742628144855,trend,bearish,2022-01-07 08:15:00,range_bound,
BTC/USDT,short,42439.99,41689.94443877984,0.06964489841686948,3006.783347765213,51.05455540225636,87.55884943268006,2.072811554497371,2.064993960800081,止损,1,2022-01-07 12:15:00,4224.158691257002,trend,bearish,2022-01-07 13:45:00,trending_down,
BTC/USDT,short,41720.73,42471.33091579306,0.102072400104869,4180.21599421321,-78.31905101400122,-78.31905101400122,-1.8383724705371391,-1.0000000000000002,止损,1,2022-01-07 14:00:00,4260.238459245303,trend,bearish,2022-01-09 19:15:00,range_bound,
BTC/USDT,short,42515.71,39926.32915834723,0.0695612969168247,3136.385637325783,178.93771038616978,210.05258927839944,4.969758552552399,4.999999999999994,止盈,1,2022-01-09 19:30:00,4226.615580157699,trend,bearish,2022-01-10 14:15:00,range_bound,
BTC/USDT,long,43146.0,43827.21076488027,0.0699649222856287,3065.1599125459434,46.4533756102075,81.19820389297539,1.8821311586063885,1.4101436677190082,止损,1,2022-01-12 12:15:00,4314.162885072157,trend,bearish,2022-01-13 15:00:00,range_bound,
BTC/USDT,long,43298.17,42702.54883555109,0.10036952291458,4284.296127194427,-61.5205387799533,-61.5205387799533,-1.4150606233639567,-1.0000000000000033,止损,1,2022-01-13 15:15:00,4347.55499264077,trend,bearish,2022-01-13 17:15:00,range_bound,
BTC/USDT,short,42333.86,41769.3886174574,0.07141974674033602,3062.578573500305,39.105013759463525,67.1707231596209,1.5545267719619675,1.2729427410082346,止损,1,2022-01-17 16:15:00,4320.975641663911,trend,bearish,2022-01-18 15:15:00,trending_down,
