symbol,side,entry,exit,qty,cash_return,remaining_pnl,total_pnl,total_pct,r,reason,phase,entry_time,cost,trade_type,big_trend,close_time,regime,grid_layer
DOT/USDT-layer1,short,28.46,27.8948,2.057685314727907,59.70130310741759,1.1395790502613523,1.1395790502613523,1.9451671193785343,1.7992797312550963,网格止盈-1,1,2022-01-02 03:45:00,58.5851487467791,grid,bearish,2022-01-02 04:45:00,range_bound,1.0
DOT/USDT-layer2,short,27.9004,28.739800000000002,2.141055328129358,57.915203714477784,-1.821096362462562,-1.821096362462562,-3.0473400810426114,-1.9737631558665318,网格止损-2,1,2022-01-02 05:00:00,59.760194596971125,grid,bearish,2022-01-02 09:15:00,trending_up,2.0
DOT/USDT-layer1,short,28.46,29.3057,2.04538854724516,56.458688256970184,-1.7530697976270722,-1.7530697976270722,-3.01033486816096,-2.0416899433606925,网格止损-1,1,2022-01-02 05:45:00,58.235042757819095,grid,bearish,2022-01-02 14:00:00,trending_up,1.0
DOT/USDT,long,28.4,30.122047287652414,103.52112676056339,3117.09227555275,177.0922755527501,215.1868671020459,5.121448256460413,4.999999999999998,止盈,1,2022-01-02 08:15:00,4201.68,trend,bearish,2022-01-02 16:30:00,trending_up,
DOT/USDT,long,30.43,29.920277713696194,140.96854696624578,4216.102204972625,-73.57067921023334,-73.57067921023334,-1.7143792706506142,-0.9999999999999966,止损,1,2022-01-02 16:45:00,4291.388753336532,trend,bearish,2022-01-02 18:15:00,range_bound,
DOT/USDT-layer4,long,29.6014,28.710700000000003,1.9013713473781249,54.56718904164822,-1.7160647606306054,-1.7160647606306054,-3.0477602009524856,-1.95830720441513,网格止损-4,1,2022-01-03 00:15:00,56.30576710379974,grid,bullish,2022-01-03 06:45:00,range_bound,4.0
DOT/USDT-layer3,long,28.9872,29.570800000000002,1.9716316657574346,58.2798648292113,1.1277834075673823,1.1277834075673823,1.9725134177713817,1.0151476570010551,网格止盈-3,1,2022-01-03 03:15:00,57.174942254212574,grid,bullish,2022-01-03 10:45:00,range_bound,3.0
DOT/USDT-layer4,long,29.5828,30.62,1.8925432482619213,57.92727957041816,1.9405511657353958,1.9405511657353958,3.4647054952239333,2.692673064149713,网格止盈-4,1,2022-01-03 10:15:00,56.00912309604464,grid,bullish,2022-01-03 14:15:00,range_bound,4.0
DOT/USDT-layer4,long,29.6056,30.62,1.9010761598502386,58.188439014471086,1.9059386564088607,1.9059386564088607,3.385024783287977,1.2816580867358371,网格止盈-4,1,2022-01-03 16:15:00,56.30501335820545,grid,bullish,2022-01-03 22:30:00,range_bound,4.0
DOT/USDT-layer3,long,28.9804,29.5606,1.9731855421482285,58.30567505471266,1.121968769040136,1.121968769040136,1.9612582566316528,0.7154050388962696,网格止盈-3,1,2022-01-04 19:00:00,57.20657976818679,grid,bullish,2022-01-04 20:30:00,range_bound,3.0
