symbol,side,entry,exit,qty,cash_return,remaining_pnl,total_pnl,total_pct,r,reason,phase,entry_time,cost,trade_type,big_trend,close_time,regime,grid_layer
LINK/USDT,long,20.86,21.17853025733939,140.93959731543626,2983.717526202196,43.71752620219588,71.60278794716226,1.704146625805922,1.5771974574475058,止损,1,2022-01-02 08:15:00,4201.68,trend,bearish,2022-01-02 15:00:00,trending_up,
LINK/USDT-layer1,short,20.84,21.4619,3.837543579144885,77.55585007423345,-2.4185581151459563,-2.4185581151459563,-3.022955884824574,-1.9366963487950113,网格止损-1,1,2022-01-02 05:00:00,80.00639795265515,grid,bearish,2022-01-02 16:00:00,trending_up,1.0
LINK/USDT,long,21.23,21.910465912620943,139.45159207048823,3054.2651316012907,93.70783194482554,130.2545880150428,3.0785337246856312,2.435639188111962,止损,1,2022-01-02 15:15:00,4231.059317966183,trend,bearish,2022-01-02 18:15:00,trending_up,
LINK/USDT-layer1,short,21.98,21.5406,3.448950286554373,77.29307288345773,1.4851455849926025,1.4851455849926025,1.9583067591889503,1.3133990648146274,网格止盈-1,1,2022-01-02 20:45:00,75.8382504693845,grid,bearish,2022-01-03 01:15:00,range_bound,1.0
LINK/USDT-layer3,long,21.279600000000002,21.98,3.651999639325226,80.23986683575848,2.5267753107733886,2.5267753107733886,3.2501152060839527,2.54524172306638,网格止盈-3,1,2022-01-03 01:45:00,77.74417676159509,grid,bullish,2022-01-03 08:15:00,trending_up,3.0
LINK/USDT-layer2,short,21.544800000000002,22.1976,3.5624632868073083,74.39628196436965,-2.35627705723645,-2.35627705723645,-3.068737972116485,-2.7166796418861896,网格止损-2,1,2022-01-02 23:00:00,76.78326004521475,grid,bearish,2022-01-03 09:45:00,trending_up,2.0
LINK/USDT-layer3,long,22.1428,22.72,3.398952932068248,77.19410568259691,1.9317706983961047,1.9317706983961047,2.565690128378069,1.99883886321598,网格止盈-3,1,2022-01-03 12:45:00,75.29243991819449,grid,bullish,2022-01-03 13:15:00,range_bound,3.0
LINK/USDT,long,22.33,23.350059799524693,134.27473241856455,3134.1236896286964,135.76891472215044,196.82946691267966,4.593370263481203,2.0680230173973517,止损,1,2022-01-03 16:30:00,4285.07730973787,trend,bullish,2022-01-04 00:45:00,range_bound,
LINK/USDT,long,23.43,22.815997769367048,186.31296351299858,4249.170034822696,-116.14270028686074,-116.14270028686074,-2.6595176297084753,-0.9999999999999983,止损,1,2022-01-04 01:00:00,4367.0588602036005,trend,bullish,2022-01-04 03:00:00,range_bound,
LINK/USDT-layer4,long,22.805799999999998,23.68,3.204484143008767,75.85295217666015,2.772127708030818,2.772127708030818,3.7917187175415377,1.7303669653966278,网格止盈-4,1,2022-01-04 03:30:00,73.11005679841678,grid,bullish,2022-01-04 08:00:00,trending_up,4.0
LINK/USDT,long,23.74,23.34215659599661,181.7944156886932,4241.7473995118,-74.05202893777663,-74.05202893777663,-1.7151496772958421,-1.0000000000000007,止损,1,2022-01-04 09:00:00,4317.525748220956,trend,bullish,2022-01-04 18:45:00,range_bound,
LINK/USDT,long,24.06,25.48878909521444,124.63760454672531,3175.662103318064,176.88133792385327,249.01317929987718,5.810345714790184,2.323431233502741,止损,1,2022-01-05 00:30:00,4285.686111000527,trend,bullish,2022-01-05 06:15:00,trending_up,
LINK/USDT,long,25.4,26.335736460329954,120.92467893463737,3183.411881234647,111.92503629485803,177.2160709415783,4.037186394068239,2.0385613472751034,止损,1,2022-01-05 06:30:00,4389.59348525395,trend,bullish,2022-01-05 14:30:00,trending_up,
LINK/USDT-layer6,long,25.917,26.4404,2.4656926678239843,65.16833907158448,1.2649821995902726,1.2649821995902726,1.9787323716961445,0.5833443539152088,网格止盈-6,1,2022-01-05 18:15:00,63.928918214743,grid,bullish,2022-01-05 18:30:00,range_bound,6.0
LINK/USDT-layer6,long,25.912,26.4344,2.4669519798490205,65.1868259522402,1.263166250392392,1.263166250392392,1.9752642320657456,0.5809772269454083,网格止盈-6,1,2022-01-05 19:15:00,63.94922916572855,grid,bullish,2022-01-05 19:30:00,range_bound,6.0
LINK/USDT-layer7,long,26.5076,25.7057,2.3719631227002536,60.947822423327395,-1.9272272479618486,-1.9272272479618486,-3.063944562059586,-0.9721335716883998,网格止损-7,1,2022-01-05 16:45:00,62.90019969115776,grid,bullish,2022-01-05 19:45:00,range_bound,7.0
LINK/USDT-layer5,long,25.3256,24.566000000000003,2.598539142970232,63.809388761039045,-2.000174158167868,-2.000174158167868,-3.03812139104935,-0.4650311011954143,网格止损-5,1,2022-01-06 00:15:00,65.83588674437459,grid,bullish,2022-01-06 01:00:00,range_bound,5.0
LINK/USDT-layer4,long,24.799400000000002,24.0497,2.6921405697355003,64.71846767162982,-2.045003173468746,-2.045003173468746,-3.061832276533166,-0.5341044578385827,网格止损-4,1,2022-01-06 01:00:00,66.79017623343661,grid,bullish,2022-01-06 01:45:00,range_bound,4.0
LINK/USDT-layer3,long,24.278000000000002,23.544500000000003,2.8081734845595956,66.08976987287015,-2.0870659852677167,-2.0870659852677167,-3.0600297981145266,-0.541260396366107,网格止损-3,1,2022-01-06 01:15:00,68.20410659248112,grid,bullish,2022-01-06 02:15:00,range_bound,3.0
LINK/USDT-layer3,long,24.2784,24.7676,2.8067770889280594,69.48987460498428,1.3458177291532751,1.3458177291532751,1.9741701316046683,0.6740956149477468,网格止盈-3,1,2022-01-07 00:45:00,68.17131449858132,grid,bullish,2022-01-07 01:00:00,range_bound,3.0
LINK/USDT-layer4,long,24.7904,24.0452,2.710265206965587,65.14199353109424,-2.0465650556654604,-2.0465650556654604,-3.0447844097161716,-0.9891094714693601,网格止损-4,1,2022-01-07 00:15:00,67.2154340101944,grid,bullish,2022-01-07 03:15:00,range_bound,4.0
LINK/USDT-layer3,long,24.2656,23.5414,2.8285508079436172,66.56059139712978,-2.0758910881068617,-2.0758910881068617,-3.0232625399002995,-0.7789840027028229,网格止损-3,1,2022-01-07 03:30:00,68.66393707823073,grid,bullish,2022-01-07 03:45:00,range_bound,3.0
LINK/USDT-layer1,long,23.3,23.7694,3.046770874174731,72.39151971206154,1.401758343790311,1.401758343790311,1.9738027535766818,0.528375814429654,网格止盈-1,1,2022-01-07 03:45:00,71.01815727281854,grid,bullish,2022-01-07 05:00:00,range_bound,1.0
LINK/USDT-layer2,long,23.7742,23.0629,2.925126853576147,67.4340910910044,-2.1084597512856336,-2.1084597512856336,-3.0306865064289727,-0.7510622673566417,网格止损-2,1,2022-01-07 05:00:00,69.57036786262695,grid,bullish,2022-01-07 06:30:00,range_bound,2.0
LINK/USDT-layer1,long,23.3,23.768800000000002,3.0462684967667073,72.37775542355865,1.3996994488943717,1.3996994488943717,1.9712286759116164,0.5705745577474082,网格止盈-1,1,2022-01-07 06:15:00,71.00644719705416,grid,bullish,2022-01-07 08:15:00,range_bound,1.0
LINK/USDT-layer6,long,25.901,26.4212,2.4822642581234042,65.55868316611021,1.2655566164559309,1.2655566164559309,1.9676296116046421,0.650316330553604,网格止盈-6,1,2022-01-08 00:15:00,64.31884380027415,grid,bullish,2022-01-08 00:30:00,range_bound,6.0
LINK/USDT-layer7,long,26.450000000000003,25.6625,2.3649664823418295,60.66593100771403,-1.8874324502273705,-1.8874324502273705,-3.0161092462825883,-1.00114932133798,网格止损-7,1,2022-01-08 00:30:00,62.578384803324575,grid,bullish,2022-01-08 10:45:00,range_bound,7.0
