symbol,side,entry,exit,qty,cash_return,remaining_pnl,total_pnl,total_pct,r,reason,phase,entry_time,cost,trade_type,big_trend,close_time,regime,grid_layer
AVAX/USDT-layer3,long,113.5048,110.0737,0.12936604292306889,14.233925532169497,-0.44974129660485146,-0.44974129660485146,-3.061643098133207,-2.4841149797690942,网格止损-3,1,2022-01-02 14:45:00,14.689540295505859,grid,bullish,2022-01-03 10:30:00,range_bound,3.0
AVAX/USDT-layer3,long,113.4256,110.0539,0.1293468638783868,14.22925832432818,-0.441987319196167,-0.441987319196167,-3.0114047961100825,-2.7159157621353907,网格止损-3,1,2022-01-03 13:30:00,14.677114141781757,grid,bullish,2022-01-03 16:00:00,range_bound,3.0
AVAX/USDT-layer2,long,111.17500000000001,107.8075,0.13464680286511657,14.509947456557644,-0.4594108519716927,-0.4594108519716927,-3.0677812077327884,-2.2759869276150115,网格止损-2,1,2022-01-03 03:30:00,14.975346051852748,grid,bullish,2022-01-03 16:15:00,range_bound,2.0
AVAX/USDT-layer1,long,105.1,107.205,0.15086339065454282,16.166967498177147,0.31122514038469623,0.31122514038469623,1.9620695965191508,1.0640909295609462,网格止盈-1,1,2022-01-04 02:15:00,15.862084654735567,grid,bullish,2022-01-04 11:00:00,range_bound,1.0
AVAX/USDT,short,106.98,108.55169794073572,39.25967470555244,4136.615650111329,-63.3843498886709,-63.3843498886709,-1.5085477687180102,-1.0000000000000036,止损,1,2022-01-04 16:15:00,4201.68,trend,bearish,2022-01-04 17:15:00,trending_down,
AVAX/USDT-layer3,short,109.0304,105.1,0.13996922907576628,15.804931731368292,0.5440306975458636,0.5440306975458636,3.563440789450837,3.0797036221616794,网格止盈-3,1,2022-01-04 14:45:00,15.267005394235957,grid,bearish,2022-01-04 18:45:00,trending_down,3.0
AVAX/USDT-layer2,long,107.22439999999999,104.03779999999999,0.14471465843549203,15.049587914411251,-0.46735450753931895,-0.46735450753931895,-3.0106939097889622,-1.6393781546455948,网格止损-2,1,2022-01-04 02:30:00,15.52314919891935,grid,bullish,2022-01-04 19:30:00,trending_down,2.0
AVAX/USDT,short,108.38,104.9839913516144,26.950277552433388,3011.2261083447333,90.3550272120027,125.31317163493864,3.0019861900874543,2.226421102480232,止损,1,2022-01-04 17:30:00,4174.342042235977,trend,bearish,2022-01-04 20:15:00,trending_down,
AVAX/USDT,short,105.31,106.32683460815304,40.115881645370436,4182.122437881947,-42.481058192013286,-42.481058192013286,-1.0051611376653717,-0.9999999999999963,止损,1,2022-01-05 08:15:00,4226.293337472391,trend,bearish,2022-01-05 08:45:00,trending_down,
AVAX/USDT,short,106.26,101.02304350501893,27.707850581330526,3088.1633163549373,143.92711358275508,170.02192393464298,4.0407002515074835,4.999999999999993,止盈,1,2022-01-05 09:00:00,4207.734138933272,trend,bearish,2022-01-05 18:00:00,trending_down,
