symbol,side,entry,exit,qty,cash_return,remaining_pnl,total_pnl,total_pct,r,reason,phase,entry_time,cost,trade_type,big_trend,close_time,regime,grid_layer
DOT/USDT-layer1,short,28.46,27.8948,2.057685314727907,59.70130310741759,1.1395790502613523,1.1395790502613523,1.9451671193785343,1.7992797312550963,网格止盈-1,1,2022-01-02 03:45:00,58.5851487467791,grid,bearish,2022-01-02 04:45:00,range_bound,1.0
DOT/USDT-layer2,short,27.9004,28.739800000000002,2.1412943029534444,57.92166794519511,-1.8212996249271727,-1.8212996249271727,-3.0473400810426114,-1.9737631558665318,网格止损-2,1,2022-01-02 05:00:00,59.76686475715033,grid,bearish,2022-01-02 09:15:00,trending_up,2.0
DOT/USDT-layer1,short,28.46,29.3057,2.045616844179781,56.46498991807959,-1.7532654672769852,-1.7532654672769852,-3.0103348681609603,-2.0416899433606925,网格止损-1,1,2022-01-02 05:45:00,58.241542687510716,grid,bearish,2022-01-02 14:00:00,trending_up,1.0
DOT/USDT,long,28.4,30.122047287652414,103.52112676056339,3117.09227555275,177.0922755527501,215.1868671020459,5.121448256460413,4.999999999999998,止盈,1,2022-01-02 08:15:00,4201.68,trend,bearish,2022-01-02 16:30:00,trending_up,
DOT/USDT,long,30.43,29.920277713696194,140.96854696624578,4216.102204972625,-73.57067921023334,-73.57067921023334,-1.7143792706506142,-0.9999999999999966,止损,1,2022-01-02 16:45:00,4291.388753336532,trend,bearish,2022-01-02 18:15:00,range_bound,
DOT/USDT-layer4,long,29.6014,28.710700000000003,1.901583569770182,54.57327958224789,-1.716256299947177,-1.716256299947177,-3.047760200952485,-1.95830720441513,网格止损-4,1,2022-01-03 00:15:00,56.31205169654795,grid,bullish,2022-01-03 06:45:00,range_bound,4.0
DOT/USDT-layer3,long,28.9872,29.570800000000002,1.9718517302855658,58.28636976173796,1.127909285604204,1.127909285604204,1.9725134177713821,1.0151476570010551,网格止盈-3,1,2022-01-03 03:15:00,57.181323860324206,grid,bullish,2022-01-03 10:45:00,range_bound,3.0
DOT/USDT-layer4,long,29.5828,30.62,1.8927544853018459,57.933745148987406,1.9407677611999634,1.9407677611999634,3.4647054952239333,2.692673064149713,网格止盈-4,1,2022-01-03 10:15:00,56.01537457874256,grid,bullish,2022-01-03 14:15:00,range_bound,4.0
DOT/USDT-layer4,long,29.6056,30.62,1.9012883492948107,58.19493374246555,1.9061513885831067,1.9061513885831067,3.385024783287978,1.2816580867358371,网格止盈-4,1,2022-01-03 16:15:00,56.311297866824,grid,bullish,2022-01-03 22:30:00,range_bound,4.0
DOT/USDT-layer3,long,28.9804,29.5606,1.9734057801129499,58.312182868058876,1.122093998073542,1.122093998073542,1.9612582566316525,0.7154050388962696,网格止盈-3,1,2022-01-04 19:00:00,57.212964905533326,grid,bullish,2022-01-04 20:30:00,range_bound,3.0
DOT/USDT-layer4,long,29.6104,28.7152,1.9010300428877085,54.56594178353635,-1.7243181983858438,-1.7243181983858438,-3.0620372821881405,-1.197610838785739,网格止损-4,1,2022-01-04 01:45:00,56.31277608591497,grid,bullish,2022-01-04 23:30:00,range_bound,4.0
DOT/USDT-layer3,long,28.9904,29.5756,1.97226257850353,58.30797844436667,1.131297388517927,1.131297388517927,1.9778081371899618,1.2779095121223896,网格止盈-3,1,2022-01-04 22:15:00,57.19955172827108,grid,bullish,2022-01-05 04:15:00,range_bound,3.0
DOT/USDT-layer4,long,29.5828,28.7014,1.89356220333863,54.32547947412378,-1.6913924748022375,-1.6913924748022375,-3.018226704747875,-2.02041929252885,网格止损-4,1,2022-01-05 02:45:00,56.03927869770559,grid,bullish,2022-01-05 19:45:00,range_bound,4.0
DOT/USDT-layer3,long,28.9828,28.1107,1.9732246626394727,55.44585069375849,-1.7437250585888224,-1.7437250585888224,-3.0478069202643123,-1.549903261144706,网格止损-3,1,2022-01-05 18:00:00,57.21245158264825,grid,bullish,2022-01-05 19:45:00,range_bound,3.0
DOT/USDT-layer1,long,27.82,26.98,2.1529409938035866,58.06239008544172,-1.8324283621740587,-1.8324283621740587,-3.0581872211575467,-0.7946134091323289,网格止损-1,1,2022-01-05 20:00:00,59.91877637499482,grid,bullish,2022-01-05 20:45:00,range_bound,1.0
DOT/USDT-layer2,long,26.7958,25.9921,2.3202366092590894,60.282952933069424,-1.8896432013152822,-1.8896432013152822,-3.0381353903478474,-0.7876881959882814,网格止损-2,1,2022-01-06 00:15:00,62.197465172838456,grid,bullish,2022-01-06 03:00:00,range_bound,2.0
DOT/USDT,short,26.09,26.644152628196007,163.20630639593784,4165.908109228998,-92.14442464101981,-92.14442464101981,-2.1631386854840566,-1.000000000000003,止损,1,2022-01-06 14:45:00,4259.755754883566,trend,bearish,2022-01-06 18:00:00,range_bound,
DOT/USDT-layer1,long,26.26,26.789,2.4008526361295828,64.29122271318549,1.2448324884226438,1.2448324884226438,1.9736812053548718,0.6350925314037204,网格止盈-1,1,2022-01-06 02:00:00,63.071608780852756,grid,bullish,2022-01-06 18:30:00,range_bound,1.0
DOT/USDT-layer7,short,27.132,26.26,2.262934171432373,63.346649364816464,1.948719425513308,1.948719425513308,3.1726480865710616,1.6856668725906683,网格止盈-7,1,2022-01-06 18:45:00,61.42248911127888,grid,bearish,2022-01-07 01:15:00,trending_down,7.0
DOT/USDT,short,26.51,25.061551487821593,111.39364639330702,3113.212309044728,160.16674315815874,212.17465436085155,5.027449444684165,3.004651953388886,止损,1,2022-01-07 00:15:00,4220.323977304178,trend,bearish,2022-01-07 04:45:00,trending_down,
DOT/USDT,short,25.1,25.818342292834615,171.59526480441608,4182.054194173041,-124.9869524178032,-124.9869524178032,-2.9007611809244955,-1.0000000000000013,止损,1,2022-01-07 05:00:00,4308.7639630494805,trend,bearish,2022-01-07 08:15:00,range_bound,
DOT/USDT-layer4,short,25.8216,25.0,2.4989227859069274,66.55348909563202,2.027304487057702,2.027304487057702,3.140576034047143,1.109664100409359,网格止盈-4,1,2022-01-07 09:15:00,64.55199508241775,grid,bearish,2022-01-07 13:30:00,range_bound,4.0
DOT/USDT-layer4,short,25.8054,25.0,2.502562231700833,66.56935118757895,1.989731773646275,1.989731773646275,3.079820254774538,0.8964523695912728,网格止盈-4,1,2022-01-07 17:00:00,64.60545126169825,grid,bearish,2022-01-07 22:30:00,trending_down,4.0
DOT/USDT,short,25.34,23.87473009517647,117.50892385808669,3148.667349789145,170.99121922522843,223.86338586980537,5.260535617546471,2.7840604049365507,止损,1,2022-01-07 20:15:00,4255.524572880203,trend,bearish,2022-01-08 18:15:00,trending_down,
DOT/USDT,short,23.63,24.36821355952633,183.96661123388583,4209.585524134376,-137.54549932234596,-137.54549932234596,-3.1627871895098467,-0.9999999999999988,止损,1,2022-01-08 18:30:00,4348.869875866105,trend,bearish,2022-01-08 22:15:00,trending_down,
DOT/USDT,short,24.29,24.928712200122504,176.5595551967639,4174.145401138728,-114.48619459066774,-114.48619459066774,-2.6684599940283467,-0.9999999999999993,止损,1,2022-01-08 22:45:00,4290.347048367687,trend,bearish,2022-01-09 16:45:00,range_bound,
DOT/USDT,short,24.95,22.450672659357288,118.95305942786624,3263.9943148733355,296.1154821480732,351.17477496662354,8.27945029783637,4.9999999999999964,止盈,1,2022-01-09 17:00:00,4241.522834654789,trend,bearish,2022-01-10 14:15:00,range_bound,
DOT/USDT-layer2,short,25.041,24.12,2.6582023108851405,68.98562277757327,2.421578710698463,2.421578710698463,3.636513526852345,1.0234530820912644,网格止盈-2,1,2022-01-10 14:30:00,66.59066968450155,grid,bearish,2022-01-10 14:45:00,range_bound,2.0
DOT/USDT,short,23.58,24.341426293950864,186.03087440455303,4243.204575993679,-143.40344246568148,-143.40344246568148,-3.2678120183261106,-1.0000000000000016,止损,1,2022-01-10 17:00:00,4388.362661666744,trend,bearish,2022-01-11 03:45:00,range_bound,
DOT/USDT-layer3,short,24.343999999999998,25.068499999999997,2.8132704066088468,66.42064586698626,-2.0656089114995013,-2.0656089114995013,-3.0148867170187432,-2.1160448135914476,网格止损-3,1,2022-01-11 04:15:00,68.51364928039715,grid,bearish,2022-01-11 16:00:00,range_bound,3.0
DOT/USDT-layer2,short,24.814799999999998,25.557599999999997,2.6889892081597986,64.70265752706162,-2.024071875582153,-2.024071875582153,-3.0321620565952214,-1.4197573081976125,网格止损-2,1,2022-01-11 15:15:00,66.75342009440483,grid,bearish,2022-01-11 16:00:00,range_bound,2.0
DOT/USDT-layer2,short,25.4862,26.2569,2.549242931833337,62.979825475643125,-1.990689733647673,-1.990689733647673,-3.0627643473768593,-2.4380510222585747,网格止损-2,1,2022-01-12 02:15:00,64.9965034153745,grid,bearish,2022-01-12 09:15:00,trending_up,2.0
DOT/USDT-layer1,short,26.0,26.7737,2.4652940216923045,62.16460752159098,-1.93303704240894,-1.93303704240894,-3.014563405407074,-2.4052673420873165,网格止损-1,1,2022-01-12 02:00:00,64.12328362182552,grid,bearish,2022-01-12 13:30:00,trending_up,1.0
DOT/USDT,long,26.0,26.949100136572174,116.45958214360273,3137.269761397009,109.32062566333815,141.24386083721592,3.2639640128583993,2.9548588874247703,止损,1,2022-01-12 11:00:00,4327.371879125663,trend,bearish,2022-01-12 14:00:00,trending_up,
DOT/USDT-layer1,short,27.4,26.854599999999998,2.2189197608521196,61.98428092433789,1.1858794769898087,1.1858794769898087,1.9497310564825197,1.2111500047470458,网格止盈-1,1,2022-01-12 15:00:00,60.82272080792701,grid,bearish,2022-01-12 16:15:00,range_bound,1.0
DOT/USDT-layer2,short,26.8598,27.6701,2.2950193428969574,59.759448868575745,-1.8843116777679456,-1.8843116777679456,-3.055553778309976,-1.7970768403121389,网格止损-2,1,2022-01-12 15:45:00,61.66841805056223,grid,bearish,2022-01-13 00:30:00,range_bound,2.0
DOT/USDT-layer1,short,27.4,26.854599999999998,2.205487403877376,61.609055554368325,1.1787006881282267,1.1787006881282267,1.9497310564825197,1.2328438784088762,网格止盈-1,1,2022-01-12 16:45:00,60.454527008186595,grid,bearish,2022-01-13 01:30:00,range_bound,1.0
DOT/USDT-layer3,short,26.3372,27.1343,2.38689659766512,60.936432124798124,-1.9277409472276785,-1.9277409472276785,-3.0652915086566273,-1.972941510332578,网格止损-3,1,2022-01-13 03:15:00,62.88931874125461,grid,bearish,2022-01-13 10:15:00,range_bound,3.0
DOT/USDT-layer1,short,27.4,26.853199999999998,2.2048868052770736,61.59536501033148,1.1814665457396694,1.1814665457396694,1.9548385025551864,1.57878925269984,网格止盈-1,1,2022-01-13 14:30:00,60.438064023977645,grid,bearish,2022-01-13 15:15:00,range_bound,1.0
DOT/USDT-layer2,short,26.8596,26.319200000000002,2.2949659147078467,62.85740931640192,1.2155428337150416,1.2155428337150416,1.971155126089366,1.2787128305040487,网格止盈-2,1,2022-01-13 01:00:00,61.66652322927995,grid,bearish,2022-01-13 15:30:00,range_bound,2.0
DOT/USDT-layer3,short,26.3476,27.1369,2.399912812075918,61.31239884775695,-1.9195439596945045,-1.9195439596945045,-3.0345049731553457,-1.7604351617658713,网格止损-3,1,2022-01-14 01:00:00,63.25723558457444,grid,bearish,2022-01-14 02:15:00,range_bound,3.0
DOT/USDT-layer2,short,26.8664,27.6668,2.2935150366785226,59.7581155491098,-1.8603768323100571,-1.8603768323100571,-3.0179787061443175,-1.385196840246462,网格止损-2,1,2022-01-14 01:45:00,61.64313977837243,grid,bearish,2022-01-14 02:30:00,range_bound,2.0
DOT/USDT,long,27.54,27.125144123505372,159.19525549149338,4316.440554050524,-67.79678218520391,-67.79678218520391,-1.5457574286720583,-0.9999999999999981,止损,1,2022-01-15 00:45:00,4385.9910311702215,trend,bearish,2022-01-15 04:30:00,range_bound,
DOT/USDT-layer1,short,27.4,26.8566,2.218247677223873,61.96107014919519,1.1810837932610752,1.1810837932610752,1.9424347049501307,1.9582150013717559,网格止盈-1,1,2022-01-15 05:00:00,60.804298350476486,grid,bearish,2022-01-15 12:30:00,range_bound,1.0
DOT/USDT-layer2,short,26.857799999999997,27.6711,2.2946659218598535,59.73877473052049,-1.8909036656070737,-1.8909036656070737,-3.0669438097915065,-3.0069212512549166,网格止损-2,1,2022-01-15 05:30:00,61.65433026748602,grid,bearish,2022-01-15 16:45:00,trending_up,2.0
DOT/USDT,long,27.49,28.124545012625557,110.89553638020436,3117.667097306276,69.14880221445813,97.61746073183882,2.2405934273722004,2.1108814890786154,止损,1,2022-01-15 16:15:00,4356.7681462997925,trend,bullish,2022-01-15 20:45:00,range_bound,
DOT/USDT,long,28.11,27.78777458118212,156.3605060463182,4343.1523778846695,-52.14144707733526,-52.14144707733526,-1.1858274079833717,-0.9999999999999948,止损,1,2022-01-15 21:00:00,4397.051942491989,trend,bullish,2022-01-15 23:30:00,range_bound,
DOT/USDT,long,27.95,27.583201542743687,156.44565323173276,4313.522921173944,-59.13308665298633,-59.13308665298633,-1.3517972319348188,-0.9999999999999974,止损,1,2022-01-16 00:30:00,4374.405070230061,trend,bullish,2022-01-16 13:15:00,range_bound,
DOT/USDT,long,27.49,26.98850054802401,158.1333395861536,4266.042887879684,-81.0426173436782,-81.0426173436782,-1.8635523308900819,-1.000000000000003,止损,1,2022-01-16 13:30:00,4348.824339425451,trend,bullish,2022-01-17 01:30:00,range_bound,
DOT/USDT,short,26.5,25.93877866455569,113.91026818497724,3081.3435308907283,62.721423988831496,103.69982932360438,2.40377409342307,1.3631641363204146,止损,1,2022-01-17 12:30:00,4314.042222492368,trend,bullish,2022-01-17 19:00:00,range_bound,
