symbol,side,entry,exit,qty,cash_return,remaining_pnl,total_pnl,total_pct,r,reason,phase,entry_time,cost,trade_type,big_trend,close_time,regime,grid_layer
ETH/USDT-layer6,short,3495.045,3415.0,0.00013644046975267048,0.487596212775432,0.01073063116870983,0.01073063116870983,2.2493425917459087,1.4021677704675186,网格止盈-6,1,2022-01-06 01:45:00,0.4770563278393649,grid,bearish,2022-01-06 04:30:00,range_bound,6.0
ETH/USDT-layer6,short,3500.9,3415.0,0.00013598462122880583,0.48755921199929675,0.011490651539370463,0.011490651539370463,2.4126896986071205,1.404854968618707,网格止盈-6,1,2022-01-06 05:30:00,0.47625898788411025,grid,bearish,2022-01-06 08:15:00,trending_down,6.0
ETH/USDT-layer6,short,3460.879,3392.2088,0.00013914114043616843,0.4909128806531773,0.00936222968159114,0.00936222968159114,1.9434064242659503,1.5833546716593345,网格止盈-6,1,2022-01-06 17:45:00,0.4817432712319748,grid,bearish,2022-01-07 00:00:00,trending_down,6.0
ETH/USDT-layer7,short,3398.3744,3300.0,0.000144313596831293,0.5044322238902903,0.014000590846903017,0.014000590846903017,2.8536072934196333,1.8283363922307547,网格止盈-7,1,2022-01-06 13:15:00,0.49062780569660464,grid,bearish,2022-01-07 03:15:00,trending_down,7.0
ETH/USDT,short,3388.87,3221.5257437150335,0.8675458191078442,3084.002809891734,144.0028098917342,178.02093673637557,4.236898972229574,5.000000000000001,止盈,1,2022-01-07 00:15:00,4201.68,trend,bearish,2022-01-07 04:00:00,trending_down,
ETH/USDT,short,3191.42,3264.941659082266,1.3392355733276338,4173.890746898868,-100.17244653040915,-100.17244653040915,-2.3427916023075723,-1.0000000000000013,止损,1,2022-01-07 04:15:00,4275.772818706649,trend,bearish,2022-01-07 08:15:00,range_bound,
ETH/USDT-layer4,short,3266.1746,3140.27,0.00015623268682129078,0.5297495340332603,0.01946630064780568,0.01946630064780568,3.813277797079971,1.689460436903522,网格止盈-4,1,2022-01-07 09:15:00,0.5104873466788089,grid,bearish,2022-01-07 13:30:00,trending_down,4.0
ETH/USDT,short,3252.68,3191.1602824781876,0.910600153193369,3016.7260141262664,54.83510783725942,108.22968075006759,2.5568289558037276,1.47034330151207,止损,1,2022-01-07 12:30:00,4232.965232359318,trend,bearish,2022-01-07 14:00:00,trending_down,
ETH/USDT-layer5,short,3205.0443999999998,3140.27,0.00016224952420487335,0.5303185377645677,0.010301608809073916,0.010301608809073916,1.9802220350464743,1.6744874976613244,网格止盈-5,1,2022-01-08 00:15:00,0.520224935727076,grid,bearish,2022-01-08 16:30:00,trending_down,5.0
ETH/USDT-layer4,short,3267.1826,3140.27,0.00015612847721959414,0.5297108750166792,0.01961063088032494,0.01961063088032494,3.8429289124549357,3.263921106019387,网格止盈-4,1,2022-01-08 01:00:00,0.5103042842340089,grid,bearish,2022-01-08 16:30:00,trending_down,4.0
ETH/USDT,short,3156.21,3064.1387333761713,0.9483566792948726,3079.331950297214,86.11911553994412,120.19391622884012,2.8097601194069526,2.3243485036375477,止损,1,2022-01-08 16:15:00,4277.728742701675,trend,bearish,2022-01-08 18:15:00,range_bound,
ETH/USDT,short,3048.91,3121.3781280855724,1.4187960317304544,4221.233603984914,-104.5478051183859,-104.5478051183859,-2.41588727755345,-1.0000000000000018,止损,1,2022-01-08 18:30:00,4327.511721666941,trend,bearish,2022-01-08 22:15:00,range_bound,
ETH/USDT-layer4,short,3067.09,3158.545,0.000177173911614424,0.5269875291537572,-0.01642080341972653,-0.01642080341972653,-3.0206083971701,-1.4389040787277736,网格止损-4,1,2022-01-08 22:30:00,0.5436256959065131,grid,bearish,2022-01-09 16:45:00,range_bound,4.0
ETH/USDT-layer2,short,3186.8008,3123.6016,0.00016410396852206262,0.5331287110334358,0.01016205286415183,0.01016205286415183,1.9423780674362572,1.484689336105682,网格止盈-2,1,2022-01-09 17:00:00,0.5231758448325518,grid,bearish,2022-01-10 11:00:00,range_bound,2.0
ETH/USDT-layer3,short,3124.8364,3001.0,0.0001706768559090855,0.5542599244805725,0.020922672498306996,0.020922672498306996,3.921403708041043,2.0235934798884814,网格止盈-3,1,2022-01-08 22:45:00,0.5335505868830583,grid,bearish,2022-01-10 14:15:00,range_bound,3.0
ETH/USDT-layer4,short,3064.7206,3001.0,0.00017743838498782317,0.5548880344278864,0.011088960724973939,0.011088960724973939,2.038349723314155,1.8154747766829598,网格止盈-4,1,2022-01-10 12:15:00,0.5440165933323936,grid,bearish,2022-01-10 14:15:00,range_bound,4.0
ETH/USDT-layer4,short,3065.1412,3001.0,0.0001773997172808376,0.5549163109789786,0.011161128673131326,0.011161128673131326,2.0517810900519047,0.8436665225997925,网格止盈-4,1,2022-01-10 16:30:00,0.5439726843787697,grid,bearish,2022-01-10 17:15:00,range_bound,4.0
ETH/USDT-layer4,short,3067.6162,3158.8080999999997,0.00017711376893486002,0.5269483988955714,-0.01636866793206188,-0.01636866793206188,-3.0115238562935867,-1.2770434318991342,网格止损-4,1,2022-01-10 18:45:00,0.5435343936543644,grid,bearish,2022-01-11 16:00:00,range_bound,4.0
