symbol,total_trades,grid_trades,trend_trades,grid_pnl,trend_pnl,grid_return,trend_return,total_return,total_pnl,win_rate,grid_win_rate,trend_win_rate,max_drawdown,sharpe,profit_factor,init_balance,final_equity
ADA,2599,2172,427,43824.45341663515,39949.754672468895,438.2445341663515,399.49754672468896,380.30780863588626,83774.20808910404,63.639861485186614,65.00920810313076,56.674473067915685,8.69183667403513,3.1801182586044856,0.8264302793047379,20000,96061.56172717725
SOL,2496,2115,381,105.53749817727362,70617.02555221974,1.0553749817727363,706.1702555221974,341.11763171124727,70722.56305039702,61.73878205128205,61.74940898345154,61.679790026246714,4.100248375908728,4.328090384752786,0.8235653441347472,20000,88223.52634224946
ICP,3226,2713,513,2586.1416240063627,68515.8920645205,25.86141624006363,685.1589206452051,338.8302216755652,71102.03368852686,63.4221946683199,64.9834131957243,55.165692007797276,5.7418569110781945,3.2854123970743703,0.8465007194762639,20000,87766.04433511304
AVAX,2536,2129,407,466.2890258979848,54320.30967357989,4.662890258979848,543.2030967357989,262.96142170403346,54786.59869947787,62.5,63.550962893377175,57.00245700245701,4.128709780761745,4.331975029151035,0.847601734153152,20000,72592.2843408067
DOT,2108,1625,483,1204.4401730757675,49926.77834589671,12.044401730757674,499.2677834589671,243.90948832084746,51131.21851897248,61.95445920303605,63.815384615384616,55.6935817805383,3.578829778378853,4.304055531447376,0.8935545788206015,20000,68781.89766416949
AAVE,2631,2250,381,91.2471519445681,39697.78567692126,0.9124715194456811,396.9778567692126,191.4258461686179,39789.03282886583,61.95362979855569,63.022222222222226,55.643044619422575,4.4329799521560505,3.739822261584077,0.815849489651014,20000,58285.16923372358
SUI,2105,1892,213,10862.123584602226,27029.65313272342,108.62123584602226,270.29653132723416,178.0547185291272,37891.77671732564,63.42042755344418,64.05919661733616,57.74647887323944,6.995961712465605,4.146033927059194,0.7960376585525806,20000,55610.94370582544
LINK,2282,1833,449,997.2212037831238,34847.03482261571,9.972212037831238,348.47034822615706,169.6238583737205,35844.256026398834,62.050832602979845,64.32078559738135,52.78396436525612,6.0042320551881785,3.4197210689414392,0.8731637632331809,20000,53924.7716747441
BCH,2581,2232,349,47.12369448634912,31945.44738892387,0.4712369448634912,319.45447388923867,153.33017824117024,31992.571083410217,62.72762495156916,63.70967741935484,56.446991404011456,3.461411670869242,3.2033613492394184,0.7888385877349824,20000,50666.03564823405
LTC,2327,1918,409,111.44206253477101,30359.886623632392,1.11442062534771,303.5988662363239,144.038691056367,30471.328686167162,61.839278040395364,63.347236704900936,54.76772616136919,6.009744169434932,2.766913209787465,0.8320702139425649,20000,48807.738211273405
UNI,2401,2060,341,1177.9064251669986,26715.311749407403,11.779064251669986,267.153117494074,132.21871761255017,27893.218174574402,61.93252811328613,63.10679611650486,54.83870967741935,5.473831441856377,3.1791210151874063,0.8120955466072786,20000,46443.743522510034
XRP,1842,1609,233,12012.372460319863,17045.525595365525,120.12372460319862,170.45525595365524,130.8413482904659,29057.898055685386,62.920738327904445,63.57986326911125,58.36909871244635,5.6016116861545004,2.342343588618502,0.7911696220786623,20000,46168.26965809318
ETH,1434,1069,365,2.3736909507578643,24848.95896104567,0.023736909507578643,248.48958961045673,118.65958945123984,24851.33265199643,62.69177126917713,64.07857811038353,58.63013698630137,3.243682796559308,4.050025113432088,0.8727286469122232,20000,43731.91789024797
BTC,1146,700,446,0.11991003178505245,23725.838195603817,0.0011991003178505246,237.2583819560382,111.15207454999545,23725.958105635604,62.129144851657934,65.57142857142857,56.72645739910314,2.3410288056177073,3.9561711320188597,0.9883695961037062,20000,42230.41490999909
BNB,1779,1217,562,23.911636873205666,23129.825553792252,0.23911636873205666,231.2982555379225,106.71673479015023,23153.73719066546,61.04553119730185,65.32456861133936,51.779359430604984,3.655721626486124,3.125848553065555,0.9438452163918443,20000,41343.346958030044
