symbol,side,entry,exit,qty,cash_return,remaining_pnl,total_pnl,total_pct,r,reason,phase,entry_time,cost,trade_type,big_trend,close_time,regime,grid_layer
SOL/USDT,short,170.19,172.14406687768036,24.678300722721666,4150.096949960294,-49.90305003970573,-49.90305003970573,-1.1876927809758413,-1.0000000000000064,止损,1,2022-01-04 00:15:00,4201.68,trend,bearish,2022-01-04 11:30:00,range_bound,
SOL/USDT,short,171.63,173.74621658300939,24.34501613344592,4125.1444580805,-53.19066090282272,-53.19066090282272,-1.272501884877576,-1.0000000000000038,止损,1,2022-01-04 11:45:00,4180.006453030916,trend,bearish,2022-01-04 15:00:00,range_bound,
SOL/USDT-layer2,short,172.3674,166.59,0.05609685168673135,9.989494716973049,0.32022624354555074,0.32022624354555074,3.310469712817674,2.9924124320905405,网格止盈-2,1,2022-01-04 15:15:00,9.673136180816869,grid,bearish,2022-01-05 17:30:00,range_bound,2.0
SOL/USDT-layer6,short,155.885,151.36,0.06858672959669204,10.997720637668095,0.3060782944877578,0.3060782944877578,2.8616362416767767,0.7352682481164353,网格止盈-6,1,2022-01-05 23:15:00,10.695919000117609,grid,bearish,2022-01-06 02:15:00,trending_down,6.0
SOL/USDT-layer5,short,155.7876,152.702,0.06852151127723691,10.881961844734613,0.2071600544809407,0.2071600544809407,1.9398694950998538,1.2704833543308298,网格止盈-5,1,2022-01-06 19:00:00,10.679071710969774,grid,bearish,2022-01-06 20:15:00,range_bound,5.0
SOL/USDT-layer6,short,152.909,149.8648,0.07120335006115047,11.10003523953481,0.21240218503435332,0.21240218503435332,1.9500772763767833,1.1192782859504986,网格止盈-6,1,2022-01-06 17:30:00,10.891988107722257,grid,bearish,2022-01-07 00:00:00,trending_down,6.0
SOL/USDT-layer7,short,150.244,144.92,0.07383367315688966,11.481719639115097,0.38865324933136797,0.38865324933136797,3.5021682602484243,1.8705792358715023,网格止盈-7,1,2022-01-06 13:00:00,11.097503616339642,grid,bearish,2022-01-07 02:45:00,trending_down,7.0
SOL/USDT,short,149.4,138.39075887177432,19.469244690581682,3121.883284093236,213.17812732033218,253.3980267606162,6.09576035031635,4.999999999999999,止盈,1,2022-01-07 00:15:00,4156.955198336589,trend,bearish,2022-01-07 03:30:00,trending_down,
SOL/USDT,short,139.63,144.02576153609064,30.516523405471478,4125.1743944397585,-135.84776866622383,-135.84776866622383,-3.1868750287542684,-1.0000000000000018,止损,1,2022-01-07 03:45:00,4262.726571971225,trend,bearish,2022-01-08 07:45:00,range_bound,
SOL/USDT-layer3,short,148.5528,145.6092,0.07543793128291944,11.424092406442362,0.2175764881570878,0.2175764881570878,1.9407413860473246,1.3607817645993519,网格止盈-3,1,2022-01-08 10:15:00,11.21099852465259,grid,bearish,2022-01-08 11:00:00,range_bound,3.0
SOL/USDT-layer4,short,145.6938,142.7784,0.07851752619676114,11.663850947376435,0.22433418917075557,0.22433418917075557,1.9602619246425166,1.1955652258463072,网格止盈-4,1,2022-01-08 08:15:00,11.444092564908962,grid,bearish,2022-01-08 15:00:00,range_bound,4.0
SOL/USDT-layer5,short,142.95759999999999,138.0,0.08146034073952833,12.044564442632558,0.3991896353273624,0.3991896353273624,3.4265107814968903,2.305617858759074,网格止盈-5,1,2022-01-08 15:00:00,11.650032957228117,grid,bearish,2022-01-08 17:30:00,trending_down,5.0
SOL/USDT,short,140.73,136.27821035249943,20.9072349462086,3034.172876001737,91.89770202180144,160.65599462091586,3.820656597199386,1.2655708944748063,止损,1,2022-01-08 16:45:00,4204.931548642183,trend,bearish,2022-01-08 19:00:00,trending_down,
SOL/USDT-layer4,short,145.71959999999999,142.81279999999998,0.07839818777628423,11.647470754687735,0.2233181912027093,0.2233181912027093,1.9540083905773264,0.5483829996928063,网格止盈-4,1,2022-01-08 21:45:00,11.42872222451042,grid,bearish,2022-01-08 23:00:00,range_bound,4.0
SOL/USDT-layer4,short,145.7616,142.8688,0.07835473066789135,11.643207030233098,0.22209612051218727,0.22209612051218727,1.9438329540797554,0.6436579128141218,网格止盈-4,1,2022-01-09 01:00:00,11.4256793540848,grid,bearish,2022-01-09 01:15:00,range_bound,4.0
SOL/USDT-layer5,short,142.9672,138.0,0.08154097992890294,12.05805286696002,0.40036728126856935,0.40036728126856935,3.432990154413023,0.8920222390589393,网格止盈-5,1,2022-01-08 21:30:00,11.662348659925728,grid,bearish,2022-01-09 10:00:00,range_bound,5.0
SOL/USDT-layer4,short,145.7634,142.8712,0.07835107856600733,11.642758307034779,0.22203870158642727,0.22203870158642727,1.943396994983548,1.0854972568565167,网格止盈-4,1,2022-01-09 18:00:00,11.42528789329053,grid,bearish,2022-01-09 21:15:00,range_bound,4.0
SOL/USDT-layer5,short,142.9656,138.0,0.08154280507142586,12.058061879161023,0.4002458264415841,0.4002458264415841,3.431910319355275,1.7002262055494555,网格止盈-5,1,2022-01-09 17:00:00,11.662479179140528,grid,bearish,2022-01-10 12:00:00,range_bound,5.0
SOL/USDT-layer5,short,133.236,137.25,0.0938870250241396,12.12726549500292,-0.38186617111334387,-0.38186617111334387,-3.051478678995851,-0.9554412214054735,网格止损-5,1,2022-01-10 14:45:00,12.51413531878271,grid,bearish,2022-01-10 16:15:00,range_bound,5.0
SOL/USDT-layer4,short,135.7782,133.0576,0.09040071258151544,12.515480433271577,0.24103440023605582,0.24103440023605582,1.9629238205747395,0.5656431222796717,网格止盈-4,1,2022-01-10 16:30:00,12.279355811448735,grid,bearish,2022-01-10 17:15:00,range_bound,4.0
