symbol,side,entry,exit,qty,cash_return,remaining_pnl,total_pnl,total_pct,r,reason,phase,entry_time,cost,trade_type,big_trend,close_time,regime,grid_layer
AVAX/USDT-layer2,short,10.9984,11.3308,13.57336474138939,144.71379421375056,-4.57150055794651,-4.57150055794651,-3.0610333696024052,-3.1461588016848183,网格止损-2,1,2023-01-03 01:30:00,149.34500888960574,grid,bearish,2023-01-03 05:45:00,trending_up,2.0
AVAX/USDT,long,11.17,11.17,263.2050134288272,2938.824,-1.1760000000000002,19.7524082363473,0.4701073912422483,0.0,止损,1,2023-01-03 04:15:00,4201.68,trend,bearish,2023-01-03 08:30:00,trending_up,
AVAX/USDT,long,11.21,11.34637786376427,262.7398115987053,2979.9670569379355,34.65376891644921,56.66941334696304,1.3462991666401036,1.3893022269239812,止损,1,2023-01-03 08:45:00,4209.273447623849,trend,bearish,2023-01-03 14:45:00,trending_up,
AVAX/USDT-layer1,short,11.22,11.5554,13.239239410991534,144.04440758640195,-4.49985860492309,-4.49985860492309,-3.0280935754040628,-1.923240722323294,网格止损-1,1,2023-01-02 08:15:00,148.60368389780155,grid,bearish,2023-01-03 16:00:00,range_bound,1.0
AVAX/USDT,long,11.29,11.831092389064374,262.30994534217064,3102.2286062004814,140.74932328737532,175.09139100576436,4.136951705987775,3.72627117895514,止损,1,2023-01-03 15:00:00,4232.376963751816,trend,bearish,2023-01-04 07:15:00,trending_up,
AVAX/USDT,long,11.93,11.751249214206958,360.7302865943325,4237.310091954671,-66.2022271157144,-66.2022271157144,-1.5377150547412402,-1.000000000000002,止损,1,2023-01-04 07:30:00,4305.233723998014,trend,bearish,2023-01-04 11:00:00,range_bound,
AVAX/USDT,long,11.83,12.033941880495373,252.9576564267564,3042.8807400356923,50.39166450716376,80.233585151141,1.876065434745467,1.7773617556598695,止损,1,2023-01-04 12:15:00,4276.694387369628,trend,bearish,2023-01-04 16:00:00,trending_up,
AVAX/USDT-layer1,short,11.85,12.2028,11.85803498847258,136.27799278362158,-4.239721829778489,-4.239721829778489,-3.016008786358876,-2.878192253991629,网格止损-1,1,2023-01-04 11:30:00,140.57392169924543,grid,bearish,2023-01-04 18:30:00,range_bound,1.0
AVAX/USDT,long,12.06,11.840740960438112,357.21097031488677,4227.919382004523,-80.04491999301152,-80.04491999301152,-1.857325391252197,-1.0000000000000007,止损,1,2023-01-04 16:15:00,4309.687487718334,trend,bearish,2023-01-05 11:15:00,range_bound,
AVAX/USDT-layer3,long,11.8052,11.448799999999999,11.943069187194368,136.67741438220338,-4.312905986463549,-4.312905986463549,-3.0577854583101605,-2.86490239755796,网格止损-3,1,2023-01-05 11:45:00,141.0467164968144,grid,bullish,2023-01-06 10:45:00,range_bound,3.0
AVAX/USDT-layer1,long,11.33,11.5586,12.775893969379613,147.61354768300197,2.862669009930953,2.862669009930953,1.976861506059537,2.3852000812650584,网格止盈-1,1,2023-01-06 11:30:00,144.80877902454023,grid,bullish,2023-01-06 13:45:00,range_bound,1.0
AVAX/USDT-layer1,long,11.33,11.5586,12.779535516850043,147.65562237010053,2.863484964189557,2.863484964189557,1.9768615060595365,1.632829819955655,网格止盈-1,1,2023-01-06 14:45:00,144.85005426087335,grid,bullish,2023-01-06 15:30:00,range_bound,1.0
AVAX/USDT-layer2,long,11.562,11.793999999999999,12.27493311507294,144.71379204849964,2.7910153720263247,2.7910153720263247,1.9657869424449506,2.2326966589084902,网格止盈-2,1,2023-01-06 04:30:00,141.9795457871439,grid,bullish,2023-01-06 23:00:00,range_bound,2.0
AVAX/USDT-layer2,long,11.5634,11.7968,12.279299651523322,144.79964594765414,2.8091923572293687,2.8091923572293687,1.9776464252149566,4.448629658535455,网格止盈-2,1,2023-01-07 16:45:00,142.04724977186095,grid,bullish,2023-01-08 08:15:00,range_bound,2.0
AVAX/USDT-layer3,long,11.7988,12.16,11.787534598532197,143.28078921286306,4.202025991701367,4.202025991701367,3.020120222582562,2.833447356646263,网格止盈-3,1,2023-01-06 19:45:00,139.13439472645015,grid,bullish,2023-01-08 23:45:00,range_bound,3.0
AVAX/USDT,long,12.42,12.265398073901551,344.0919241222009,4218.714974694482,-54.90672290325273,-54.90672290325273,-1.284268306352572,-0.9999999999999973,止损,1,2023-01-09 12:15:00,4275.331146276774,trend,bullish,2023-01-09 20:00:00,range_bound,
AVAX/USDT,long,12.2,12.704478709888056,243.84344539944436,3096.713904609442,121.82387073622115,172.52101312144052,4.057844869606582,2.1556304205303483,止损,1,2023-01-09 20:15:00,4251.542842695386,trend,bullish,2023-01-10 15:30:00,trending_up,
AVAX/USDT,long,12.64,12.396688321165126,341.8977656199405,4236.671402990194,-84.9163544458547,-84.9163544458547,-1.9641485085939898,-1.0000000000000029,止损,1,2023-01-10 16:45:00,4323.316392539023,trend,bullish,2023-01-11 03:15:00,range_bound,
AVAX/USDT-layer2,long,12.2674,12.514800000000001,10.924649933279463,136.66620216476923,2.649151573256742,2.649151573256742,1.9759368861158335,1.8060285223524664,网格止盈-2,1,2023-01-11 14:00:00,134.0706574117491,grid,bullish,2023-01-11 14:15:00,range_bound,2.0
AVAX/USDT-layer3,long,12.519599999999999,12.95,10.630516724892534,137.61195566048272,4.522138471518167,4.522138471518167,3.3964509343072624,2.4868707535352854,网格止盈-3,1,2023-01-11 03:45:00,133.14305311584013,grid,bullish,2023-01-11 18:15:00,range_bound,3.0
AVAX/USDT-layer8,long,14.266,14.59,8.189253410465355,119.43447610302806,2.6065869493292944,2.6065869493292944,2.230242068320575,0.4131504620836959,网格止盈-8,1,2023-01-11 19:30:00,116.87462030936024,grid,bullish,2023-01-11 19:45:00,range_bound,8.0
AVAX/USDT-layer8,long,14.2646,14.59,8.190860958856335,119.45792564762046,2.6185704139183716,2.6185704139183716,2.240275461398241,0.41233224690252557,网格止盈-8,1,2023-01-11 20:15:00,116.88609097579555,grid,bullish,2023-01-11 20:30:00,range_bound,8.0
AVAX/USDT-layer8,long,14.2674,14.59,8.18764633527706,119.41103346156274,2.5946081376308032,2.5946081376308032,2.2202106443122984,0.48732967136043137,网格止盈-8,1,2023-01-11 21:00:00,116.86315189406152,grid,bullish,2023-01-11 21:30:00,range_bound,8.0
AVAX/USDT-layer10,long,14.9698,15.98,7.437324888345406,118.80391760931418,7.468651495761117,7.468651495761117,6.7055709213061645,3.2494592868961396,网格止盈-10,1,2023-01-12 10:15:00,111.37980021999849,grid,bullish,2023-01-13 09:00:00,range_bound,10.0
AVAX/USDT-layer5,long,16.6732,17.18,5.9952987645070355,102.95924844808673,2.998433087708004,2.998433087708004,2.9984091098344523,0.7084966471831335,网格止盈-5,1,2023-01-14 02:45:00,100.00079968652287,grid,bullish,2023-01-14 05:45:00,trending_up,5.0
AVAX/USDT-layer4,long,16.3152,16.6436,6.198666385734724,103.12767086488785,1.9951890483486583,1.9951890483486583,1.9720580925225186,0.3013187461490584,网格止盈-4,1,2023-01-14 09:45:00,101.1729348092658,grid,bullish,2023-01-14 10:00:00,range_bound,4.0
AVAX/USDT-layer5,long,16.67,17.18,5.997600719808047,102.99878836470258,3.018784365502412,3.018784365502412,3.018180850035498,0.454478883441661,网格止盈-5,1,2023-01-14 09:30:00,100.01999600079985,grid,bullish,2023-01-14 12:30:00,range_bound,5.0
AVAX/USDT-layer5,long,16.6724,16.169,5.9958741290714395,96.9073025482243,-3.05830928130637,-3.05830928130637,-3.058138084465353,-1.3317418545620543,网格止损-5,1,2023-01-14 18:30:00,100.00559807426247,grid,bullish,2023-01-15 00:30:00,range_bound,5.0
AVAX/USDT-layer5,long,16.6548,16.158,5.945272187475567,96.02410107753903,-2.993218150429051,-2.993218150429051,-3.0217151557130615,-0.9117408934575323,网格止损-5,1,2023-01-15 01:00:00,99.05692615565926,grid,bullish,2023-01-15 07:00:00,range_bound,5.0
AVAX/USDT-layer4,long,16.3062,16.6316,6.266263337190403,104.17711374152435,1.998170512630189,1.998170512630189,1.9547780598300126,0.6245335824705177,网格止盈-4,1,2023-01-15 00:45:00,102.21981480618571,grid,bullish,2023-01-15 14:45:00,range_bound,4.0
AVAX/USDT-layer5,long,16.666,17.18,5.997975535444783,103.00523479483189,3.0429745211091257,3.0429745211091257,3.042906202453612,1.5780468080924546,网格止盈-5,1,2023-01-15 15:00:00,100.00224517783225,grid,bullish,2023-01-15 15:45:00,range_bound,5.0
AVAX/USDT-layer5,long,16.6764,17.18,5.992296454801039,102.90768112044232,2.977748521598258,2.977748521598258,2.9786449575503005,1.3302031011156037,网格止盈-5,1,2023-01-15 16:30:00,99.9699045718836,grid,bullish,2023-01-16 01:45:00,range_bound,5.0
AVAX/USDT-layer5,long,16.6724,17.18,5.9958741290714395,102.9691312927155,3.0035194631848507,3.0035194631848507,3.0033513333468473,1.4846998485379588,网格止盈-5,1,2023-01-16 03:45:00,100.00559807426247,grid,bullish,2023-01-16 06:00:00,range_bound,5.0
AVAX/USDT-layer4,long,16.3128,16.6404,6.263134328811817,104.18019278208854,2.010935103047137,2.010935103047137,1.9674519481599761,0.7082890841454645,网格止盈-4,1,2023-01-16 08:15:00,102.21012538211302,grid,bullish,2023-01-16 10:00:00,range_bound,4.0
AVAX/USDT-layer5,long,16.6508,16.1555,5.949997327175296,96.08555293298237,-2.9866625623480583,-2.9866625623480583,-3.013426478929174,-1.2524331264983168,网格止损-5,1,2023-01-16 09:15:00,99.11184438152856,grid,bullish,2023-01-16 15:00:00,range_bound,5.0
