symbol,side,entry,exit,qty,cash_return,remaining_pnl,total_pnl,total_pct,r,reason,phase,entry_time,cost,trade_type,big_trend,close_time,regime,grid_layer
LTC/USDT-layer2,short,70.15499999999999,72.27749999999999,0.33784582427501386,22.975015410469073,-0.7265583915445231,-0.7265583915445231,-3.0642179732768033,-2.381303758411087,网格止损-2,1,2024-01-20 01:30:00,23.7110544315344,grid,bearish,2024-01-20 06:00:00,trending_up,2.0
LTC/USDT,long,71.47,72.25079748062873,41.13614103819785,2970.942995285413,30.942995285413183,51.41842721489404,1.2237587635158802,1.3969336619203758,止损,1,2024-01-20 04:15:00,4201.68,trend,bearish,2024-01-20 07:45:00,range_bound,
LTC/USDT,long,72.0,71.39466785773364,58.62347415875355,4183.715110174869,-37.17502925538716,-37.17502925538716,-0.8803869317083765,-1.0000000000000067,止损,1,2024-01-20 08:00:00,4222.578495486027,trend,bearish,2024-01-20 09:15:00,range_bound,
LTC/USDT-layer3,long,70.2052,72.51,0.33733795669131056,24.45090208820009,0.7680233710952907,0.7680233710952907,3.2416510414630477,5.005364609081315,网格止盈-3,1,2024-01-20 14:15:00,23.69235186859164,grid,bullish,2024-01-22 00:45:00,range_bound,3.0
LTC/USDT-layer3,long,70.2048,72.51,0.33736745146160585,24.45303997969849,0.7682255233267449,0.7682255233267449,3.2422392727580096,1.944256713661161,网格止盈-3,1,2024-01-22 05:15:00,23.694288382154294,grid,bullish,2024-01-22 07:15:00,range_bound,3.0
LTC/USDT-layer1,short,71.57,70.1434,0.32537689854085194,23.742092422175723,0.45486779360694973,0.45486779360694973,1.9525122743972043,2.3334965968501424,网格止盈-1,1,2024-01-19 23:15:00,23.2965395184202,grid,bearish,2024-01-22 09:45:00,range_bound,1.0
LTC/USDT-layer3,long,70.20400000000001,68.0785,0.33740079846337445,22.96026550392671,-0.7266201513960323,-0.7266201513960323,-3.0663787131720186,-1.8097007111406032,网格止损-3,1,2024-01-22 09:15:00,23.696360409584873,grid,bullish,2024-01-22 15:15:00,range_bound,3.0
LTC/USDT-layer2,long,68.7416,66.6842,0.35191075430374064,23.457210758818285,-0.7336975492277348,-0.7336975492277348,-3.03173480802612,-1.4948061821895566,网格止损-2,1,2024-01-22 10:30:00,24.20058467136924,grid,bullish,2024-01-22 19:30:00,range_bound,2.0
LTC/USDT-layer1,long,67.37,65.3288,0.366340324660288,23.922701662598076,-0.7576460097655265,-0.7576460097655265,-3.0686077951185613,-2.152876624484398,网格止损-1,1,2024-01-22 18:45:00,24.69021981143255,grid,bullish,2024-01-23 09:15:00,trending_down,1.0
LTC/USDT,short,67.43,66.43741526683674,43.64818719145332,2985.3445076512594,42.14724533156125,73.25645566668786,1.7416099157464286,1.2892602475696837,止损,1,2024-01-23 08:15:00,4206.249344606608,trend,bearish,2024-01-23 09:15:00,trending_down,
LTC/USDT,short,65.24,67.0499382021085,64.9084742740132,4115.454682862853,-119.1741787737687,-119.1741787737687,-2.8131515666396103,-0.9999999999999983,止损,1,2024-01-23 09:30:00,4236.3227131812755,trend,bearish,2024-01-26 12:15:00,range_bound,
LTC/USDT-layer3,short,66.144,68.1435,0.38091101537444455,24.42326863440569,-0.7717095665215719,-0.7717095665215719,-3.0617252373361206,-3.288297675847038,网格止损-3,1,2024-01-26 12:45:00,25.205056192207635,grid,bearish,2024-01-27 18:30:00,range_bound,3.0
LTC/USDT-layer1,short,68.81,67.44720000000001,0.35107141431403655,24.626001252768443,0.46877723381958697,0.46877723381958697,1.9397501862501516,2.9985074473004736,网格止盈-1,1,2024-01-27 18:45:00,24.166886908556435,grid,bearish,2024-01-28 12:15:00,range_bound,1.0
LTC/USDT-layer1,short,68.81,67.4454,0.35108757524948847,24.627766823681586,0.4694307707642836,0.4694307707642836,1.9423650391609026,2.3469886914493423,网格止盈-1,1,2024-01-28 18:00:00,24.16799938733847,grid,bearish,2024-01-28 18:15:00,range_bound,1.0
LTC/USDT-layer1,short,68.81,67.4448,0.3511037591739406,24.629112740915613,0.4696630721567607,0.4696630721567607,1.9432366567978265,1.6747937149099494,网格止盈-1,1,2024-01-28 20:45:00,24.169113448626355,grid,bearish,2024-01-29 07:30:00,range_bound,1.0
LTC/USDT-layer1,short,68.81,67.4468,0.3511199512597778,24.629546338204168,0.4689824920188571,0.4689824920188571,1.940331264674781,2.0094156065496223,网格止盈-1,1,2024-01-29 17:30:00,24.170228071723788,grid,bearish,2024-01-30 23:30:00,range_bound,1.0
LTC/USDT-layer2,short,67.47240000000001,69.4788,0.3651371233356653,23.894212245076446,-0.7424657954768998,-0.7424657954768998,-3.0124553589736656,-3.661817243368532,网格止损-2,1,2024-01-26 13:15:00,24.646532711769567,grid,bearish,2024-01-31 08:30:00,range_bound,2.0
LTC/USDT-layer1,short,68.81,67.4452,0.3511361193733427,24.63124227925082,0.46956590517110713,0.46956590517110713,1.9426555783732176,3.697205472621445,网格止盈-1,1,2024-01-31 08:00:00,24.171341044629347,grid,bearish,2024-01-31 14:00:00,range_bound,1.0
LTC/USDT-layer1,short,68.81,67.4428,0.3511254293437136,24.6313351038224,0.47039431068146775,0.47039431068146775,1.9461420489208716,1.687075843934525,网格止盈-1,1,2024-01-31 16:00:00,24.17060516945819,grid,bearish,2024-01-31 19:15:00,range_bound,1.0
LTC/USDT-layer2,short,67.45060000000001,66.09120000000001,0.36542219413292354,25.134841999787437,0.48689575220526105,0.48689575220526105,1.974611056384842,1.1753491891771222,网格止盈-2,1,2024-01-31 11:00:00,24.657805426081207,grid,bearish,2024-02-01 01:15:00,range_bound,2.0
LTC/USDT-layer3,short,66.16120000000001,68.1478,0.37982077047888474,24.36479425799032,-0.7646037018172738,-0.7646037018172738,-3.041449635389817,-2.109493827478884,网格止损-3,1,2024-01-31 21:30:00,25.139449718991514,grid,bearish,2024-02-02 15:15:00,range_bound,3.0
LTC/USDT-layer1,short,68.81,67.447,0.35113139338365573,24.630278727439784,0.46892754871043085,0.46892754871043085,1.9400407254624668,3.3360119543345568,网格止盈-1,1,2024-02-02 15:30:00,24.17101571920084,grid,bearish,2024-02-04 18:15:00,range_bound,1.0
LTC/USDT-layer3,short,66.14,68.1425,0.38007069847327757,24.366729272931032,-0.7711467240915465,-0.7711467240915465,-3.0664420049941885,-4.961096431826628,网格止损-3,1,2024-02-04 23:30:00,25.14793114742139,grid,bearish,2024-02-05 14:00:00,range_bound,3.0
LTC/USDT-layer1,short,68.81,67.447,0.3511200610580542,24.629483816066276,0.46891241466156586,0.46891241466156586,1.9400407254624668,4.550195232974844,网格止盈-1,1,2024-02-05 14:15:00,24.170235629965273,grid,bearish,2024-02-05 15:15:00,range_bound,1.0
LTC/USDT,long,68.77,68.39878499043455,60.8385093631363,4159.606575352138,-24.257713550745304,-24.257713550745304,-0.5795602503007036,-1.0000000000000056,止损,1,2024-02-08 00:15:00,4185.537834618444,trend,bullish,2024-02-08 16:45:00,range_bound,
LTC/USDT-layer2,short,67.4708,69.47959999999999,0.36521914706666764,23.898119154067036,-0.7435088738386819,-0.7435088738386819,-3.0160815201063076,-4.752134797986219,网格止损-2,1,2024-02-01 15:15:00,24.65148467911688,grid,bearish,2024-02-08 23:15:00,trending_up,2.0
LTC/USDT-layer1,short,68.81,70.8545,0.35113622670477285,23.43412107055369,-0.72756268900173,-0.72756268900173,-3.010021104187303,-6.302687675524,网格止损-1,1,2024-02-06 02:45:00,24.17134843305924,grid,bearish,2024-02-09 00:00:00,trending_up,1.0
LTC/USDT,long,68.57,71.35725649195558,42.599988508206565,3038.6498740496536,117.56866204192912,143.90589802289816,3.447143155817614,4.999999999999988,止盈,1,2024-02-08 17:00:00,4174.642349275039,trend,bullish,2024-02-09 01:30:00,trending_up,
LTC/USDT-layer2,long,69.7688,71.86,0.3423445545252457,24.591325700681853,0.7063569449208896,0.7063569449208896,2.9561458603312647,3.3737530588082674,网格止盈-2,1,2024-02-09 08:15:00,23.894522743263266,grid,bullish,2024-02-11 03:30:00,trending_up,2.0
LTC/USDT,long,70.73,72.5447952607045,59.843243004238225,4339.622726447973,106.91014875820333,106.91014875820333,2.52479703821073,4.9999999999999964,止盈,1,2024-02-11 00:15:00,4234.405662720846,trend,bullish,2024-02-11 03:30:00,trending_up,
LTC/USDT,long,72.68,71.88118489707456,58.84567617577275,4228.186168086315,-48.7175763688494,-48.7175763688494,-1.1386297199962134,-1.0000000000000033,止损,1,2024-02-11 03:45:00,4278.614505952946,trend,bullish,2024-02-11 10:45:00,range_bound,
LTC/USDT-layer1,long,68.4,69.7716,0.35620826535369254,24.84347474881162,0.47882939861904794,0.47882939861904794,1.9644773669479587,1.3106785576329494,网格止盈-1,1,2024-02-13 16:45:00,24.37439120833265,grid,bullish,2024-02-14 08:45:00,range_bound,1.0
LTC/USDT-layer3,long,71.22040000000001,69.10510000000001,0.3277867744863778,22.642399787481136,-0.7027054061484883,-0.7027054061484883,-3.008872440487504,-3.712786616072803,网格止损-3,1,2024-02-14 09:45:00,23.354443235707077,grid,bullish,2024-02-14 16:15:00,range_bound,3.0
LTC/USDT-layer1,long,68.4,69.781,0.35535058993030805,24.786997123786332,0.48101677255326225,0.48101677255326225,1.9782145621283653,1.959749476532721,网格止盈-1,1,2024-02-14 17:45:00,24.315702743373564,grid,bullish,2024-02-14 19:30:00,range_bound,1.0
LTC/USDT-layer3,long,71.22120000000001,69.10530000000001,0.3277715003919599,22.641410154203026,-0.702869429512833,-0.702869429512833,-3.0096812010650855,-4.50206015512858,网格止损-3,1,2024-02-15 01:00:00,23.353617295549345,grid,bullish,2024-02-15 16:00:00,range_bound,3.0
LTC/USDT-layer3,long,71.22200000000001,69.1055,0.32774073647025886,22.639350523852322,-0.7030002090324574,-0.7030002090324574,-3.0104899434739063,-6.3747231136681854,网格止损-3,1,2024-02-16 06:30:00,23.35168767317793,grid,bullish,2024-02-16 15:00:00,range_bound,3.0
