symbol,side,entry,exit,qty,cash_return,remaining_pnl,total_pnl,total_pct,r,reason,phase,entry_time,cost,trade_type,big_trend,close_time,regime,grid_layer
SUI/USDT-layer1,long,1.1203,1.14281,1327.944968218253,1516.993710430344,29.296962535434954,29.296962535434954,1.968495829375117,1.0116761944921406,网格止盈-1,1,2024-01-19 02:00:00,1488.291826594067,grid,bullish,2024-01-19 09:00:00,range_bound,1.0
SUI/USDT-layer2,long,1.1431980000000002,1.1660960000000002,1275.2808482005778,1486.5167365572609,28.618221456056457,28.618221456056457,1.9621927348333166,1.007119382339996,网格止盈-2,1,2024-01-19 09:15:00,1458.4816745072449,grid,bullish,2024-01-19 10:45:00,range_bound,2.0
SUI/USDT-layer2,long,1.1433760000000002,1.1664520000000003,1119.2625528842664,1305.054148160692,25.316207494090797,25.316207494090797,1.9774427447923528,1.0724386904882726,网格止盈-2,1,2024-01-19 11:45:00,1280.2498358428677,grid,bullish,2024-01-19 13:15:00,range_bound,2.0
SUI/USDT-layer3,long,1.1667,1.1319000000000001,1045.8404399569595,1183.2987211707634,-36.88332012702124,-36.88332012702124,-3.0215632954840634,-1.4856496199270997,网格止损-3,1,2024-01-19 10:45:00,1220.670114114304,grid,bullish,2024-01-19 15:00:00,range_bound,3.0
SUI/USDT-layer1,long,1.1203,1.142908,1155.758224374158,1320.4074023275136,25.611463561144376,25.611463561144376,1.9772399885890475,0.7577381922982661,网格止盈-1,1,2024-01-19 15:15:00,1295.3138571418758,grid,bullish,2024-01-19 15:45:00,range_bound,1.0
SUI/USDT-layer2,long,1.143192,1.108854,1122.7861585043092,1244.4924989404922,-39.067655172366095,-39.067655172366095,-3.042477926218716,-1.1966063689857502,网格止损-2,1,2024-01-19 14:30:00,1284.0735781745034,grid,bullish,2024-01-19 16:30:00,range_bound,2.0
SUI/USDT-layer3,long,1.166504,1.131851,1043.3864198720726,1180.4711169456946,-36.64331538075756,-36.64331538075756,-3.0094675522972527,-1.5185400483795939,网格止损-3,1,2024-01-20 00:30:00,1217.6012780993826,grid,bullish,2024-01-20 02:30:00,range_bound,3.0
SUI/USDT-layer2,long,1.143358,1.1087710000000002,1271.4746933346603,1409.192766898396,-44.55799552333449,-44.55799552333449,-3.063811253130944,-1.6018251784351243,网格止损-2,1,2024-01-20 00:15:00,1454.3322627266991,grid,bullish,2024-01-20 05:30:00,trending_down,2.0
SUI/USDT-layer1,long,1.1203,1.0864150000000001,1126.2942621680434,1223.1182658485322,-38.669196058326825,-38.669196058326825,-3.0634108937876188,-1.8147418343839419,网格止损-1,1,2024-01-20 03:30:00,1262.292176891622,grid,bullish,2024-01-20 09:15:00,trending_down,1.0
SUI/USDT-layer2,long,1.0858700000000001,1.1077400000000002,1392.5010196785363,1541.9242495058068,29.849167267474336,29.849167267474336,1.9732639420495124,1.4529030657530633,网格止盈-2,1,2024-01-21 00:15:00,1512.6799122712277,grid,bullish,2024-01-21 02:30:00,range_bound,2.0
