symbol,side,entry,exit,qty,cash_return,remaining_pnl,total_pnl,total_pct,r,reason,phase,entry_time,cost,trade_type,big_trend,close_time,regime
AVAX/USDT,long,38.638345061259436,38.251961610646845,16.305046165956696,623.4480000000001,-6.551999999999948,-6.551999999999948,-1.0395841663334584,-0.4778454593036642,止损,1,2025-01-19 14:45:00,630.252,grid,bullish,2025-01-19 21:00:00,range_bound
AVAX/USDT,long,38.8639084354324,38.8639084354324,16.199383267021517,629.3195194607999,-0.2518285392,-0.2518285392,-0.03998400639744103,0.0,网格止盈,1,2025-01-20 07:15:00,629.8231765392,grid,neutral,2025-01-20 07:15:00,range_bound
AVAX/USDT,long,38.638345061259436,38.251961610646845,16.293130997353867,622.9924055809787,-6.54721202308218,-6.54721202308218,-1.0395841663334582,-0.2719738888246593,止损,1,2025-01-20 07:45:00,629.7914334511024,grid,neutral,2025-01-20 09:45:00,range_bound
AVAX/USDT,long,38.41278168708648,38.028653870215614,16.377654812219344,622.5685215482212,-6.542757300021738,-6.542757300021738,-1.0395841663334684,-0.4593710507071707,止损,1,2025-01-20 10:15:00,629.3629233597823,grid,neutral,2025-01-20 10:45:00,range_bound
AVAX/USDT,short,33.02,32.38787107510115,88.85085040861705,2988.8467310054857,54.991650512950685,91.04448238155443,2.1713974840990184,1.5399195702888742,止损,1,2025-01-28 20:15:00,4192.898032178188,trend,bearish,2025-01-28 22:15:00,range_bound
AVAX/USDT,short,30.77,29.756567769070426,96.20179625151738,3056.4392199455333,96.30994928634391,158.8833906677259,3.7557111105856715,2.327462307014341,止损,1,2025-02-02 11:15:00,4230.4476033820765,trend,bearish,2025-02-02 17:00:00,trending_down
AVAX/USDT,short,21.52,22.13587218220531,199.57140771362384,4170.148304945211,-124.62838905197437,-124.62838905197437,-2.90069930301723,-1.000000000000002,止损,1,2025-02-25 12:15:00,4296.494604674785,trend,bearish,2025-02-25 20:15:00,range_bound
AVAX/USDT,short,19.8,20.04845986223393,214.22784081367496,4186.787543796282,-54.92370431448209,-54.92370431448209,-1.2943300570374332,-0.9999999999999956,止损,1,2025-03-08 10:15:00,4243.407932610008,trend,bearish,2025-03-08 13:45:00,range_bound
AVAX/USDT,short,20.38,20.77431142924287,206.96421417119723,4134.635157443103,-83.29552736589632,-83.29552736589632,-1.9740064192324662,-1.0000000000000013,止损,1,2025-03-08 14:00:00,4219.6178570829225,trend,bearish,2025-03-08 14:15:00,range_bound
AVAX/USDT,short,19.72,18.40976940221229,148.45672239717004,3120.9080791779716,193.34151350577903,232.92295999889964,5.5671109773706915,5.000000000000006,止盈,1,2025-03-09 13:15:00,4183.9108461406595,trend,bearish,2025-03-09 17:30:00,trending_down
