symbol,return,max_dd,trades,trend_trades,grid_trades,win_rate,profit_factor,avg_r,sharpe,final_balance,init_balance
BTC,27.079014480736095,3.531270346121583,195,195,0,51.7948717948718,1.7950453325434765,0.5181107313992148,2.94484556089221,12707.90144807361,10000
ETH,64.16753900357423,3.370557614015912,142,142,0,58.45070422535211,1.9974011068861774,0.8166517790606983,4.419990213087909,16416.753900357424,10000
AAVE,37.4800517598927,5.151215664032489,127,127,0,51.181102362204726,1.8656827406444778,0.45016735075798364,2.3036457768294722,13748.00517598927,10000
AVAX,88.2339093110498,4.285513345730344,144,144,0,58.333333333333336,1.9987541784135034,0.8382111097128033,4.39662946318046,18823.39093110498,10000
BNB,54.23915399689763,3.711641109752123,189,189,0,53.43915343915344,2.0463579530302263,0.7104846036112006,3.8592162319169043,15423.915399689762,10000
DOT,51.51368839954416,5.267996687099856,128,128,0,55.46875,1.8661667261286417,0.7524559406817568,3.281288301201398,15151.368839954415,10000
LINK,56.683425523363105,3.1072800828031264,129,129,0,58.139534883720934,1.6816274421337372,0.7062627763692629,3.127393985807149,15668.342552336311,10000
SOL,72.92178660595505,6.611886565428633,195,195,0,52.307692307692314,1.929718698005505,0.6096835172105873,3.6239162497469275,17292.178660595506,10000
TAO,102.55532407031254,6.105259218089414,137,137,0,56.20437956204379,2.0151777817527057,0.8438767876080575,4.087901519913781,20255.532407031253,10000
UNI,28.099364396882432,5.66472089595271,116,116,0,49.137931034482754,1.7481210462138295,0.5298162318298187,1.853342927908932,12809.936439688243,10000
XRP,54.34247380334269,2.9849546305355372,118,118,0,55.932203389830505,2.1688437092050457,0.8604653774910582,3.4208899938170396,15434.24738033427,10000
